,FSC-H,FSC-A,SSC-H,SSC-A,FITC-H,FITC-A,VSSC-H,VSSC-A,PE-H,PE-A,ECD-H,ECD-A,FSC-Width,Time
9,10.405471,9.39322,9.584005,9.244084,5.9020867,5.126936,10.093847,9.739514,6.0124917,4.6756287,6.166258,5.5424395,5.919443,4.5325994
10,10.309346,9.982109,9.35858,9.292915,6.147827,5.8754926,10.115886,10.0052,6.1810513,4.1478853,6.1725354,4.3013587,6.60432,4.574711
11,10.347545,9.974803,9.675042,9.638375,6.0016623,5.777343,10.330861,10.221585,6.4849405,5.189618,6.235782,5.198497,6.558852,4.6051702
28,10.396279,9.798177,9.390768,9.274198,5.6426163,4.950177,9.01838,8.88775,5.6849394,2.1400661,6.100095,4.670021,6.3333683,5.971262
34,11.008529,10.749609,10.454616,10.429428,6.036438,5.3375382,11.171025,11.133365,5.7140627,3.5862927,7.058414,6.5123396,6.672595,6.0958247
38,10.582051,9.976254,9.809913,9.78396,6.3909116,4.883559,10.518079,10.415644,6.040969,4.2470655,6.007584,4.5108595,6.3257713,6.216606
47,10.172461,9.357216,9.794838,9.590925,5.7304244,4.844974,10.396462,10.2273445,5.986954,5.1197886,6.012002,5.229503,6.1163435,6.5191474
54,10.656869,9.98832,10.211961,10.168885,5.386786,2.7472708,11.013051,10.964067,6.182498,5.1071568,5.485212,3.8155122,6.2629943,6.6147256
58,10.253631,9.82367,9.612212,9.363284,5.572914,2.6741486,10.247201,10.060846,6.1209564,4.8315086,6.070738,5.889155,6.50155,6.683361
70,10.566544,10.012522,9.832711,9.695307,6.102335,5.128122,10.566714,10.45335,6.157614,5.160204,5.7939277,3.1570003,6.377589,6.84375
85,10.292678,9.844979,9.830729,9.813606,6.06912,5.3757415,10.442055,10.363403,6.3960958,4.624973,5.803326,3.6609943,6.483877,6.9772816
87,10.521701,9.763604,10.053294,10.063227,5.898252,3.131137,10.678311,10.627731,6.002157,4.286341,6.181878,5.488111,6.1733403,7.0166097
89,9.847287,9.272827,9.685842,9.471935,5.800304,5.040194,10.196527,10.04712,5.6315703,4.000034,6.537561,5.6503816,6.3571415,7.063904
93,10.6895075,10.363539,10.369402,10.234689,5.705115,4.8528113,11.030266,10.952248,6.443018,5.2801533,5.812637,3.9608133,6.6055956,7.098376
94,10.312055,9.903057,9.9821,9.689099,5.9319797,4.416428,10.833286,10.682994,6.035242,4.5282893,6.0232053,5.1968384,6.5226274,7.113956
96,10.54592,9.641772,9.950681,9.980842,5.7865906,3.835142,10.668597,10.608899,6.255942,5.431536,6.382662,5.2214365,6.0274425,7.1188264
97,10.69766,10.322642,10.351482,10.332347,5.8478827,4.6501436,10.743148,10.636273,5.8949537,4.730039,5.800909,4.8243055,6.556532,7.1228666
103,10.455874,10.025303,9.979652,9.919981,5.721295,4.54542,10.853078,10.75823,6.1340485,5.4553213,5.750666,4.2668962,6.5009723,7.194437
126,10.43298,9.964616,9.660791,9.581738,5.443283,4.808111,10.254268,10.152583,6.2828274,2.00148,5.9107966,2.8390784,6.4631395,7.3677087
135,10.456496,9.99685,9.690344,9.584659,6.301703,5.5853744,10.544396,10.435263,6.4748163,5.5130253,6.3507113,5.558757,6.4718604,7.431892
136,10.2948,9.632722,9.907619,9.691803,5.8496127,4.3605475,10.7175865,10.498402,5.8771753,3.7565382,6.096275,4.783316,6.269416,7.4324837
138,10.458702,9.76546,9.481999,9.354112,5.508983,4.1926804,9.368105,9.182949,5.9514236,4.9323134,5.864483,2.6390574,6.238382,7.4413204
